reviewId,eventKey,axis,currentValue,candidateOption,candidateOptionStatus,rationale,risk,authorQuestion,allowedResponses
A4R184-REVIEW-0001,Asiana 214 SFO,P,UNKNOWN,UNKNOWN,CONSERVATIVE_UNKNOWN_RECOMMENDED,Cues factuais disponiveis (PAPI abaixo glidepath; velocidade decaindo; razao de descida elevada) suportam hipotese de lacuna de percepcao mas o momento discreto de nao-percepcao do A/T HOLD requer callout de CVR isolado nao disponivel nesta extracao. Confianca MEDIUM.,Risco de importar mode confusion da narrativa NTSB como codigo fechado sem evidencia CVR discreto; risco de reintroduzir gate de estabilizacao como EP,A evidencia disponivel sustenta hipotese canonica de lacuna de percepcao de modo A/T HOLD ou deve permanecer UNKNOWN pela ausencia de callout de CVR que ancore o momento discreto?,CONFIRMO|AJUSTO|ADIO|PRECISO_DE_MAIS_EVIDENCIA
A4R184-REVIEW-0001,Asiana 214 SFO,O,UNKNOWN,UNKNOWN,CONSERVATIVE_UNKNOWN_RECOMMENDED,Objetivo de continuar a aproximacao visual e consistente com o comportamento observado mas a confianca no O-axis e menor que no P-axis per A4R183. Nao ha evidencia direta de avaliacao explicita de continuar vs arremetar nesta janela.,Risco de forcar O-axis para caber em expectativa; nao e necessario preencher todos os eixos. Risco de usar objetivo como redundancia dos eixos P e A.,O objetivo de continuar a aproximacao visual e suficientemente ancoravel para HYP_O ou deve permanecer UNKNOWN dado que a confianca e menor que no P-axis?,CONFIRMO|AJUSTO|ADIO
A4R184-REVIEW-0001,Asiana 214 SFO,A,UNKNOWN,UNKNOWN,NEEDS_MORE_EVIDENCE,Ausencia de callout de speed e de go-around no gate de 500 ft e factualmente ancoravel mas o exato momento de decisao operacional compartilha o mesmo espaco temporal com o P-axis (nao-percepcao). Boundary P/A nao resolvido. Janela de go-around antes de 200 ft nao especificada com precisao.,Risco de deslocar A-axis para go-around tardio abaixo de 200 ft que e consequencia/agravamento; risco de double-count com P-axis usando o mesmo fato.,Existe um momento discreto antes de 200 ft AGL em que o autor considera que a acao de go-around era operacionalmente possivel e disponivel com margem suficiente?,PRECISO_DE_MAIS_EVIDENCIA|ADIO|AJUSTO
A4R184-REVIEW-0002,Comair 5191 LEX,P,UNKNOWN,UNKNOWN,CONSERVATIVE_UNKNOWN_RECOMMENDED,Mismatch entre heading de lineup na pista 26 (~260 graus) e heading bugs configurados (~225 graus) e factualmente ancoravel com HIGH confidence em COMAIR-SRC-EV-003. Ausencia de callout de verificacao de identidade de pista e consistente com comportamento observado. Confianca MEDIUM-HIGH.,Risco de usar o mesmo fato (mismatch de heading) para suportar P e A sem racional distinto. Risco de importar fadiga ou single-controller da narrativa NTSB como codigo.,O mismatch de heading (~260 vs ~225 graus) e evidencia suficiente para hipotese canonica de nao-integracao de identidade de pista ou o autor prefere evidencia de CVR que confirme que o mismatch foi visto e ignorado vs nao visto?,CONFIRMO|AJUSTO|ADIO|PRECISO_DE_MAIS_EVIDENCIA
A4R184-REVIEW-0002,Comair 5191 LEX,O,UNKNOWN,UNKNOWN,CONSERVATIVE_UNKNOWN_RECOMMENDED,Objetivo de decolar pela pista 22 e evidenciado pelo briefing e pelos heading bugs. Nao ha evidencia de objetivo incompativel — a tripulacao nao reconheceu estar na pista 26. O objetivo em si nao estava em conflito com a intencao declarada; problema era a divergencia entre objetivo e acao.,Risco de forcar O-axis para capturar objetivo de decolagem que nao era em si operacionalmente incompativel. Risco de O-axis ser redundante com P e A eixos.,O O-axis captura algo metodologicamente distinto de P e A neste caso ou o objetivo de decolagem em pista 22 e melhor descrito pelas hipoteses de percepcao e acao?,CONFIRMO|AJUSTO|ADIO
A4R184-REVIEW-0002,Comair 5191 LEX,A,UNKNOWN,UNKNOWN,CONSERVATIVE_UNKNOWN_RECOMMENDED,Acao de virar a esquerda e alinhar na pista 26 sem cross-check de heading bug ou verificacao de identidade e factualmente documentada em COMAIR-SRC-EV-003 com HIGH confidence. Confianca MEDIUM-HIGH. A acao de alignment em si pode ser descrita sem inferir intencao.,Risco de ampliar A-axis para incluir o overrun (consequencia) ou o cruzamento do hold-short (anterior ao EP). Risco de double-count com P-axis para o mesmo fato.,A formulacao descritiva de alinhamento em pista incorreta sem verificacao descreve suficientemente o ato observavel para HYP_A ou o autor prefere formulacao mais especifica?,CONFIRMO|AJUSTO|ADIO|PRECISO_DE_MAIS_EVIDENCIA
A4R184-REVIEW-0003,American 1420 LIT,P,UNKNOWN,UNKNOWN,CONSERVATIVE_UNKNOWN_RECOMMENDED,Comentarios de CVR I-cant-see-it e off-course sao ancoras factuais diretas de percepcao degradada com HIGH confidence na extracao (AA1420-E4). Alerta EGPWS sink rate representa cue adicional disponivel. Confianca MEDIUM.,Risco de double-count: EGPWS sink rate pode suportar tanto P-axis quanto A-axis sem racional distinto. Risco de usar fadiga/duty time como codigo SERA.,Os comentarios de CVR I-cant-see-it e off-course sao ancoras diretas de percepcao degradada suficientes para HYP_P ou o autor deseja ampliar para incluir nao-integracao de windshear como elemento paralelo?,CONFIRMO|AJUSTO|ADIO|PRECISO_DE_MAIS_EVIDENCIA
A4R184-REVIEW-0003,American 1420 LIT,O,UNKNOWN,UNKNOWN,CONSERVATIVE_UNKNOWN_RECOMMENDED,Objetivo de completar o pouso em LIT e consistente com o comportamento observado. Extracao registra pressao do despachante e ciclo de duty como contexto mas nao como evidencia direta de violacao de objetivo operacional nominal. Confianca MEDIUM.,Risco de importar pressao do despachante como codigo fechado de O-axis sem evidencia factual direta. Risco de usar outcome (overrun) como prova retroativa de que o objetivo estava errado.,A persistencia do objetivo de completar o pouso apesar da degradacao de referencia visual constitui hipotese O distinta ou e melhor descrita pelos eixos P e A?,CONFIRMO|AJUSTO|ADIO
A4R184-REVIEW-0003,American 1420 LIT,A,UNKNOWN,UNKNOWN,NEEDS_MORE_EVIDENCE,Ausencia de go-around e factualmente documentada (aeronave prosseguiu ate o touchdown) mas o momento exato da janela de go-around com margem operacional disponivel requer verificacao de altitude/timestamp especifico. Sem essa ancora A-axis fica sem especificidade operacional. Confianca MEDIUM.,Risco de usar o overrun como evidencia retroativa de que a janela de go-around existia (outcome bias). Risco de migrar A-axis para assimetria de autospoilers pos-toque que e consequencia tecnica.,Qual altitude ou momento especifico o autor considera como janela de go-around com margem operacional disponivel? Esse timestamp e necessario para ancorar HYP_A de forma precisa.,PRECISO_DE_MAIS_EVIDENCIA|ADIO|AJUSTO
A4R184-REVIEW-0006,UPS 1354 BHM,P,UNKNOWN,UNKNOWN,CONSERVATIVE_UNKNOWN_RECOMMENDED,Descontinuidade FMC tornou glidepath invalido e nenhum piloto reconheceu (UPS-E3 factual HIGH confidence). Autopilot nao engajou modo profile esperado sem reconhecimento da tripulacao. Informacao sobre descontinuidade e estado de modo era disponivel para verificacao no cockpit. Confianca MEDIUM.,Risco de usar nenhum piloto reconheceu para suportar P sem verificar se o mesmo fato e melhor alocado ao A-axis (ausencia de acao de verificacao). Risco de double-count com A-axis.,O fato nenhum piloto reconheceu o glidepath FMC invalido e o modo nao engajado e ancora factual suficiente para HYP_P ou o autor prefere CVR evidence que discerne o momento especifico de verificacao omitida?,CONFIRMO|AJUSTO|ADIO|PRECISO_DE_MAIS_EVIDENCIA
A4R184-REVIEW-0006,UPS 1354 BHM,O,UNKNOWN,UNKNOWN,CONSERVATIVE_UNKNOWN_RECOMMENDED,Objetivo de executar a profile approach com FMC vertical guidance e evidenciado pelo briefing (UPS-E2). O objetivo era operacionalmente correto; o problema era a desconexao entre objetivo e estado real do sistema. O O-axis pode nao ter conteudo conceitual distinto de P e A neste caso.,Risco de forcar O-axis para objetivo de profile approach que era operacionalmente correto. O-axis poderia ser redundante com P e A eixos neste caso.,O O-axis captura algo metodologicamente distinto de P e A neste caso ou o objetivo de executar profile approach com FMC guidance e melhor descrito pelas hipoteses de percepcao e acao?,CONFIRMO|AJUSTO|ADIO
A4R184-REVIEW-0006,UPS 1354 BHM,A,UNKNOWN,UNKNOWN,NEEDS_MORE_EVIDENCE,O fato captain mudou para vertical speed sem briefar FO (UPS-E4 HIGH confidence) pode suportar A-axis (captain omitiu coordenacao) mas o mesmo fato pode suportar P-axis (FO nao sabia do modo). Boundary P/A nao resolvido. A alocacao deste fato entre eixos e a questao critica que precede qualquer proposta de candidato.,Risco de usar o mesmo fato (mode change sem briefing) para P e A sem racional distinto. Risco de deslocar A-axis para gate de 1000 ft ou MDA que sao consequencia/agravamento.,O fato captain mudou para vertical speed sem briefar FO deve ser alocado ao P-axis (FO nao sabia do modo) ou ao A-axis (captain omitiu coordenacao)? Esta decisao precede qualquer proposta de candidato HYP_A.,PRECISO_DE_MAIS_EVIDENCIA|ADIO|AJUSTO
A4R184-REVIEW-0017,United 173 PDX,P,UNKNOWN,UNKNOWN,NEEDS_MORE_EVIDENCE,CVR com fuel advisories repetidos e queries explicitas (U173-E1) e atenção acoplada ao troubleshooting (U173-E3) sao ancoras de alto nivel. Porem OCR artifacts no TXT fonte (NTSB AAR-79-07) limitam confianca em detalhes finos de timing das verbalizacoes do FE. Confianca MEDIUM limitada por OCR.,Risco de importar attentional fixation como rotulo sem evidencia factual direta de CVR. Risco de usar outcome (fuel exhaustion) como prova da nao-percepcao.,Os OCR artifacts no TXT AAR-79-07 sao impeditivos para proposta de HYP_P ou o autor considera as ancoras de alto nivel (fuel advisories repetidos + atencao acoplada) suficientes para nivel MEDIUM?,PRECISO_DE_MAIS_EVIDENCIA|ADIO|AJUSTO
A4R184-REVIEW-0017,United 173 PDX,O,UNKNOWN,UNKNOWN,CONSERVATIVE_UNKNOWN_RECOMMENDED,Objetivo de resolver o gear antes de pousar e documentado pelo comportamento observado (checklists; coordenacao com maintenance; discussao de opcoes). A persistencia desse objetivo alem da janela de seguranca de fuel tem suporte conceitual. Cautela com outcome bias: o objetivo era legitimo no inicio do holding.,Risco de usar outcome (fuel exhaustion) como prova retroativa de que o objetivo estava errado desde o inicio. Risco de importar CRM failure da analise NTSB.,A persistencia do objetivo de troubleshooting alem da janela de seguranca de fuel constitui hipotese O distinta com base factual suficiente ou o outcome bias torna essa hipotese arriscada nesta fase?,CONFIRMO|AJUSTO|ADIO
A4R184-REVIEW-0017,United 173 PDX,A,UNKNOWN,UNKNOWN,NEEDS_MORE_EVIDENCE,Ausencia de decisao land now na janela de fuel critico e factualmente consistente com o outcome (extracao secao 13 HIGH confidence). Porem o timestamp/fuel quantity exato da janela em que land now era operacionalmente necessario nao esta isolado com precisao — OCR artifacts limitam a ancora temporal. Confianca MEDIUM.,Risco de ausencia de ancora temporal precisa tornar A-axis sem especificidade operacional. Risco de boundary com P-axis nao resolvido (fixacao vs omissao de land now).,A janela aproximada de fuel critico (~3000-5000 lb per extracao secao 13) e suficiente para ancorar HYP_A em nivel MEDIUM ou o autor requer verificacao do TXT AAR-79-07 antes de qualquer proposta?,PRECISO_DE_MAIS_EVIDENCIA|ADIO|AJUSTO
