extractionId,selectionId,probableEventKey,narrativeSufficiency,sourceCompleteness,extractionConfidence,duplicateGroup,boundaryFlag,sourceMismatchFlag,negativeControlReplication,multiActorReviewNeeded,technicalDominanceRisk,needsSourceEnrichment,readyForA4R181AfterEnrichment,recommendedA4R181Handling,notes
A4R180-EXTRACTION-0001,A4R179-SEL-0001,SOURCE-SLICE-ASIANA-214-A4R106,NARRATIVE_SUFFICIENT,HIGH,MEDIUM-HIGH,,false,false,false,false,false,false,true,BATCH_A_NARRATIVE_SUFFICIENT,Asiana 214 SFO visual approach unstable A/T HOLD
A4R180-EXTRACTION-0002,A4R179-SEL-0002,SOURCE-SLICE-COMAIR-5191-A4R106,NARRATIVE_SUFFICIENT,HIGH,MEDIUM-HIGH,,false,false,false,false,false,false,true,BATCH_A_NARRATIVE_SUFFICIENT,Comair 5191 wrong runway takeoff LEX
A4R180-EXTRACTION-0003,A4R179-SEL-0003,SOURCE-SLICE-AMERICAN-1420-A4R115,NARRATIVE_SUFFICIENT,HIGH,MEDIUM-HIGH,,false,false,false,false,false,false,true,BATCH_A_NARRATIVE_SUFFICIENT,American 1420 LIT overrun windshear
A4R180-EXTRACTION-0004,A4R179-SEL-0004,SOURCE-SLICE-COLGAN-3407-A4R115,NARRATIVE_SUFFICIENT,HIGH,MEDIUM-HIGH,,false,false,false,true,false,false,true,BATCH_B_MULTI_ACTOR,Colgan 3407 stall recovery PF CPT + FO flaps
A4R180-EXTRACTION-0005,A4R179-SEL-0005,SOURCE-SLICE-HELIOS-522-A4R115,NARRATIVE_THIN_NEEDS_ENRICHMENT,MEDIUM,MEDIUM,,true,false,false,false,false,false,true,BATCH_B_BOUNDARY,Helios 522 pressurization hypoxia boundary capability
A4R180-EXTRACTION-0006,A4R179-SEL-0006,SOURCE-SLICE-UPS-1354-A4R115,NARRATIVE_SUFFICIENT,HIGH,MEDIUM-HIGH,,false,false,false,false,false,false,true,BATCH_A_NARRATIVE_SUFFICIENT,UPS 1354 BHM nonprecision approach
A4R180-EXTRACTION-0007,A4R179-SEL-0007,SOURCE-SLICE-ATLAS-3591-A4R119,NARRATIVE_SUFFICIENT,HIGH,MEDIUM,DUPLICATE_GROUP_ATLAS_3591,false,false,false,true,false,false,true,BATCH_B_MULTI_ACTOR_CONSOLIDATE_WITH_0008,Atlas 3591 mode toggle nose-down inputs FO + CPT intervention
A4R180-EXTRACTION-0008,A4R179-SEL-0008,NTSB-USA-BOEING-767-375BCF,SOURCE_PARTIAL_NEEDS_CAUTION,HIGH,MEDIUM,DUPLICATE_GROUP_ATLAS_3591,false,false,false,true,false,false,true,BATCH_C_DUPLICATE_CONSOLIDATION,Atlas 3591 PDF duplicate of 0007
A4R180-EXTRACTION-0009,A4R179-SEL-0009,SOURCE-SLICE-US-AIRWAYS-1549-A4R115,NARRATIVE_SUFFICIENT,HIGH,HIGH,DUPLICATE_GROUP_US_AIRWAYS_1549,false,false,true,false,false,false,true,BATCH_C_NEGATIVE_CONTROL_CONSOLIDATION,US Airways 1549 negative control replication
A4R180-EXTRACTION-0010,A4R179-SEL-0010,AERONAUTICA-CIVIL-COLOMBIA-BOEING-757-223,NARRATIVE_SUFFICIENT,HIGH,MEDIUM-HIGH,,false,false,false,true,false,false,true,BATCH_B_MULTI_ACTOR_RECLASSIFY,American 965 Cali CFIT reclassify from negative control; negativeControlHandled=false
A4R180-EXTRACTION-0011,A4R179-SEL-0011,NTSB-USA-BOEING-747-300,NARRATIVE_THIN_NEEDS_ENRICHMENT,HIGH,MEDIUM,DUPLICATE_GROUP_KOREAN_801,true,false,false,false,false,false,true,BATCH_C_DUPLICATE_CONSOLIDATION,Korean 801 Guam CFIT boundary P-only governance
A4R180-EXTRACTION-0012,A4R179-SEL-0012,TSB-CANADA-LIGHT-HELICOPTER-OR-SMALL-AIRCRAFT-SEE-REPORT-FOR-EXACT-TYPE,NARRATIVE_THIN_NEEDS_ENRICHMENT,HIGH,MEDIUM,,true,false,false,true,false,false,true,BATCH_B_BOUNDARY_REFRAME,TSB Bell 206L-4 Quebec flat light single-pilot reframe
A4R180-EXTRACTION-0013,A4R179-SEL-0013,TSB-CANADA-BELL-206B,NARRATIVE_SUFFICIENT,HIGH,MEDIUM,,true,false,false,true,true,false,true,BATCH_B_BOUNDARY_REFRAME,TSB Bell 206B LTE single-pilot technical boundary
A4R180-EXTRACTION-0014,A4R179-SEL-0014,NTSB-USA-SIKORSKY-S-76A,SOURCE_MISMATCH_REQUIRES_REPAIR,NONE,LOW,,false,true,false,false,true,true,false,BATCH_D_REPAIR_BEFORE_ADJUDICATION,Sikorsky S-76A TXT mismatch FTW02LA122 Cessna 172R
A4R180-EXTRACTION-0015,A4R179-SEL-0015,SOURCE-SLICE-USAIR-427-A4R115,SOURCE_PARTIAL_NEEDS_CAUTION,HIGH,LOW,,true,false,false,false,true,false,false,BATCH_D_TECHNICAL_DOMINANCE_BOUNDARY_REVIEW,USAir 427 PCU rudder technical dominance boundary
A4R180-EXTRACTION-0016,A4R179-SEL-0016,SOURCE-SLICE-KOREAN-801-BOUNDARY-A4R115,NARRATIVE_THIN_NEEDS_ENRICHMENT,HIGH,MEDIUM,DUPLICATE_GROUP_KOREAN_801,true,false,false,false,false,false,true,BATCH_C_DUPLICATE_CONSOLIDATION,Korean 801 boundary slice duplicate of 0011
A4R180-EXTRACTION-0017,A4R179-SEL-0017,SOURCE-SLICE-UNITED-173-A4R119,NARRATIVE_SUFFICIENT,HIGH,MEDIUM-HIGH,,false,false,false,true,false,false,true,BATCH_A_NARRATIVE_SUFFICIENT,United 173 PDX fuel exhaustion attentional fixation
A4R180-EXTRACTION-0018,A4R179-SEL-0018,SOURCE-SLICE-UNITED-232-A4R119,NARRATIVE_SUFFICIENT,HIGH,HIGH,,true,false,false,true,false,false,true,BATCH_B_BOUNDARY_ADVERSARIAL,United 232 Sioux City hydraulic loss adversarial framing
A4R180-EXTRACTION-0019,A4R179-SEL-0019,NTSB-USA-AIRBUS-A320-214,NARRATIVE_SUFFICIENT,HIGH,HIGH,DUPLICATE_GROUP_US_AIRWAYS_1549,false,false,true,false,false,false,true,BATCH_C_NEGATIVE_CONTROL_CONSOLIDATION,US Airways 1549 PDF duplicate of 0009
A4R180-EXTRACTION-0020,A4R179-SEL-0020,REAL-EVENT-0003,NARRATIVE_THIN_NEEDS_ENRICHMENT,MEDIUM,MEDIUM,,false,false,false,false,false,false,true,BATCH_D_UNRESOLVED_CANDIDATE,REAL-EVENT-0003 Tofino UNRESOLVED preserved
A4R180-EXTRACTION-0021,A4R179-SEL-0021,QUESTIONPATH-BACKFILL-BATCH2-001,HOLD_NO_DIRECT_EVENT_SOURCE,N/A,LOW,,false,false,false,false,false,false,false,BATCH_D_HOLD_CROSS_REFERENCE_ONLY,QuestionPath backfill cross-reference REAL-EVENT-0003
A4R180-EXTRACTION-0022,A4R179-SEL-0022,QUEUE-B-P0-POA-REVIEW-TRACKER-A4R129-V0-2-0,HOLD_NO_DIRECT_EVENT_SOURCE,N/A,LOW,,false,false,false,false,false,false,false,BATCH_D_HOLD_CROSS_REFERENCE_ONLY,Queue B tracker cross-references multiple events
A4R180-EXTRACTION-0023,A4R179-SEL-0023,EXT-BATCH1-EXTRACTION-001,NEEDS_SOURCE_ENRICHMENT,LOW,LOW,,false,false,false,false,false,true,false,BATCH_D_SOURCE_ENRICHMENT_PENDING,S-92A Sable Island TSB A19A0055 direct read required
A4R180-EXTRACTION-0024,A4R179-SEL-0024,EXT-BATCH1-EXTRACTION-002,NEEDS_SOURCE_ENRICHMENT,LOW,LOW,,false,false,false,false,false,true,false,BATCH_D_SOURCE_ENRICHMENT_PENDING,AW139 night over-water NTSB ERA19FA210 direct read required
